Property Address,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Submarket Cluster,City,State,Zip,County Name,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,Floodplain Area,Number Of Stories,Latitude,Longitude
225 Broadway,520951,166897,$25.00 - 275.00,,New York,City Hall,Downtown,New York,NY,10007,Manhattan,N,,,72.20,1927,,16500,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,44,40.711964,-74.008556
601 W 26th St,2300000,975959,$43.39 - 53.03 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10001-1101,Manhattan,N,8/1/2011,"920,000,000",64.83,1931,2003,122105,0.04,Multi,09/05/2007,3604970069F,360497,0069F,100-year Floodplain,20,40.75161,-74.006649
251 W 30th St,136364,48502,$38.13 - 46.61 (Est.),Loft/Creative Space,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-2810,Manhattan,N,4/29/2016,"50,450,000",69.72,1927,2017,6000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,16,40.7494023,-73.994274
35 W 45th St,67567,13563,$38.33 - 46.84 (Est.),Office Building,New York,Times Square,Midtown,New York,NY,10036-4903,Manhattan,N,,,79.93,1920,,5631,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,12,40.7562569,-73.9809923
1001 6th Ave,241001,66992,$56.00,Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,,,75.12,1926,,9640,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,25,40.7520849,-73.9865858
547 W 27th St,97200,28590,$49.50 - 101.50,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5511,Manhattan,N,3/8/1999,"7,750,000",72.13,1899,2004,16200,,Multi,09/05/2007,3604970069F,360497,0069F,500-year Floodplain,6,40.751413,-74.004344
39 Broadway,447400,119677,$38.00 - 45.00,,New York,World Trade Center,Downtown,New York,NY,10006-3003,Manhattan,N,6/24/1998,"48,500,000",76.61,1928,2005,8700,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,37,40.7064032,-74.0134038
69 Mercer St,14091,17350,$54.89 - 133.20,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10012-4440,Manhattan,N,,,12.36,1890,1998,2818,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,5,40.7226583,-74.0006116
200 Park Ave S,285000,108290,$61.16 - 74.75 (Est.),Office Building,New York,Gramercy Park,Midtown South,New York,NY,10003-1503,Manhattan,N,,,74.92,1903,1979,17849,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,17,40.7369293,-73.9891593
41 E 11th St,191223,220000,$40.00,Loft/Creative Space,New York,Greenwich Village,Midtown South,New York,NY,10003,Manhattan,N,,,79.08,1890,,17384,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7333765,-73.9929104
145 E 32nd St,121504,31000,$35.00 - 55.00,Medical,New York,Murray Hill,Midtown,New York,NY,10016-6055,Manhattan,N,6/21/2005,"33,200,000",74.49,1927,1990,6772,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,14,40.745065,-73.979974
333 Hudson St,111290,21915,$55.00 - 65.00,Loft/Creative Space,New York,Hudson Square,Midtown South,New York,NY,10013-1006,Manhattan,N,8/13/1998,"4,100,000",84.54,1925,2007,10129,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,10,40.727131,-74.007676
110 E 107th St,92000,15000,$42.50,Medical,New York,Upper East Side,Uptown,New York,NY,10029-3904,Manhattan,N,,,83.70,1947,,23000,,Multi,09/05/2007,3604970087F,360497,0087F,500-year Floodplain,4,40.7931705,-73.9469876
501 Fifth Ave,152361,28712,$45.00 - 62.00,,New York,Grand Central,Midtown,New York,NY,10017-6107,Manhattan,N,,,83.52,1916,,6300,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,23,40.7532078,-73.9807713
274 Madison Ave,91212,20462,$44.00 - 58.00,,New York,Grand Central,Midtown,New York,NY,10016-0701,Manhattan,N,,,83.20,1927,,4400,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,19,40.7513672,-73.9806463
235 E 38th St,10000,7583,$38.00 - 44.00,Medical,New York,Grand Central,Midtown,New York,NY,10016,Manhattan,N,,,24.17,1999,,10000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,1,40.74795,-73.974707
70-74 Lafayette St,18000,4000,$60.00,,New York,City Hall,Downtown,New York,NY,10013-4000,Manhattan,N,,,77.78,1920,,2000,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,7,40.7169481,-74.0021214
390 5th Ave,138066,32335,$35.00 - 38.00,Loft/Creative Space,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-8104,Manhattan,N,,,77.52,1903,2004,15000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,9,40.7497281,-73.9841339
589 11th Ave,17820,18020,$40.00,Loft/Creative Space,New York,Times Square,Midtown,New York,NY,10036-2101,Manhattan,N,11/3/2023,"7,400,000",0.00,2020,,2500,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.762376,-73.997595
30 W 24th St,71037,11250,$39.00 - 49.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10010-3207,Manhattan,N,,,84.16,1916,,5624,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.742879,-73.9911305
109-111 W 24th St,46545,25930,$55.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10011-1901,Manhattan,Y,10/21/2021,"16,250,000",44.29,1902,,6649,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.744025,-73.992722
11 W 25th St,30468,7500,$41.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10010-2001,Manhattan,N,,,83.59,1913,,2064,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7435128,-73.9896552
159 W 25th St,102500,61500,$35.00,,New York,Chelsea,Midtown South,New York,NY,10001-7203,Manhattan,N,,,40.00,1928,,7500,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.745377,-73.993959
555 W 25th St,52955,21733,$45.00 - 64.75,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5542,Manhattan,N,3/28/2019,"43,300,000",67.83,1926,1985,6809,0.00,Multi,09/05/2007,3604970069F,360497,0069F,100-year Floodplain,6,40.750116,-74.0054
28 W 27th St,74550,9775,$29.00 - 39.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-6906,Manhattan,Y,,,82.09,1901,,6000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.744813,-73.989871
242 W 27th St,16500,8800,$45.00 - 54.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5926,Manhattan,Y,6/29/2016,"13,768,000",46.67,1927,,2357,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.7472979,-73.9959208
37 E 28th St,45001,11600,$46.00 - 48.00,,New York,Gramercy Park,Midtown South,New York,NY,10016-7919,Manhattan,N,9/22/1999,"5,525,500",78.22,1909,2012,3920,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,10,40.7437834,-73.9846226
214 W 29th St,186051,59254,$40.00 - 55.00,Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-5203,Manhattan,N,,,68.15,1929,2014,8125,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,17,40.7480919,-73.9939849
224 W 29th St,56261,34851,$42.00 - 49.00,,New York,Chelsea,Midtown South,New York,NY,10001-5204,Manhattan,N,,,38.05,1926,,3900,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,15,40.7482038,-73.994258
242 W 30th St,112500,23810,$44.00,Office Building,New York,Chelsea,Midtown South,New York,NY,10001-4903,Manhattan,N,,,78.84,1927,,6780,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,14,40.7491639,-73.9944977
135 W 36th St,115000,27499,$76.50,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-6900,Manhattan,N,12/16/2002,"18,150,000",76.09,1925,2015,4792,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,23,40.75192,-73.988381
255 W 36th St,127930,21081,$33.00 - 37.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7555,Manhattan,N,1/15/2004,"14,400,000",83.52,1923,,8275,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,15,40.753244,-73.99143
39-43 W 37th St,109750,37776,$29.00 - 38.00,Medical,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-6217,Manhattan,N,,,65.58,1930,,6000,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,18,40.751426,-73.9852276
40 W 37th St,55000,19469,$35.00 - 80.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7489,Manhattan,N,1/26/1996,"2,563,500",80.13,1923,,4231,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7509235,-73.9852628
44 W 37th St,58600,11861,$58.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7485,Manhattan,N,10/26/2021,"49,000,000",79.76,2020,,3544,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,15,40.7510587,-73.9853772
203-205 W 38th St,27300,22500,$35.00 - 86.40,Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,,,17.58,2021,,5460,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,5,40.7537654,-73.9889981
6 E 39th St,117000,17700,$42.00,,New York,Grand Central,Midtown,New York,NY,10016-0112,Manhattan,N,6/1/2006,"26,500,000",84.87,1920,2008,8276,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,14,40.7509026,-73.9819269
30 E 40th St,69446,12962,$36.75 - 66.00,Medical,New York,Grand Central,Midtown,New York,NY,10016-1201,Manhattan,N,8/6/2015,"4,650,000",82.49,1927,,5578,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7510272,-73.9796598
104-110 E 40th St,99368,10938,$30.00 - 38.00,Medical,New York,Grand Central,Midtown,New York,NY,10016-1801,Manhattan,Y,7/28/2008,"35,000,000",75.25,1916,2009,11000,10.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,9,40.750427,-73.9780146
18 E 41st St,108627,31292,$44.00 - 90.00,,New York,Grand Central,Midtown,New York,NY,10017-6222,Manhattan,N,8/11/1998,"13,625,000",74.97,1913,1986,4425,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,21,40.7522031,-73.9804859
144 E 44th St,50000,16455,$52.00 - 75.00,,New York,Grand Central,Midtown,New York,NY,10017,Manhattan,N,,,80.09,1959,,6969,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,8,40.7523343,-73.9744788
450 W 44th St,5000,1000,$78.00,Office/Residential,New York,Times Square,Midtown,New York,NY,10036,Manhattan,Y,,,0.00,1899,2023,1250,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,4,40.7604131,-73.9937804
21 W 45th St,13200,3000,$60.00 - 66.67,,New York,Times Square,Midtown,New York,NY,10036,Manhattan,N,,,77.27,1900,,2500,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.7560779,-73.9804021
6 W 48th St,60500,49500,$48.00,Office Building,New York,Plaza District,Midtown,New York,NY,10036-1802,Manhattan,N,11/6/2023,"34,700,000",18.18,1919,1989,4654,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7573812,-73.9788782
64 W 48th St,130000,34635,$65.45,Office Building,New York,Plaza District,Midtown,New York,NY,10036-1708,Manhattan,N,3/5/2008,"54,500,000",74.20,1926,,6192,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,17,40.7581987,-73.9808791
57 W 57th St,161500,47019,$64.00 - 69.00,Medical,New York,Plaza District,Midtown,New York,NY,10019,Manhattan,N,10/28/2004,"25,000,000",84.26,1928,,9364,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,20,40.7644045,-73.9768256
600 W 57th St,12707,5000,$43.00,Loft/Creative Space,New York,Columbus Circle,Midtown,New York,NY,10019,Manhattan,N,1/20/2016,"16,000,000",60.65,1940,1986,2500,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,5,40.7702941,-73.9918419
122 E 83rd St,1800,890,$47.20,Office Live/Work Unit,New York,Upper East Side,Uptown,New York,NY,10028-0838,Manhattan,N,,,50.56,1920,,900,,,,,,,,2,40.777522,-73.957662
2108-2118 Adam Clayton Powell Jr Blvd,125000,32008,$48.00,Loft/Creative Space,New York,Harlem/North Manhattan,Uptown,New York,NY,10027-4420,Manhattan,N,2/18/2014,"21,500,000",74.39,1903,2001,12500,,Multi,09/05/2007,3604970087F,360497,0087F,100-year and 500-year Floodplain,7,40.809627,-73.9483809
16 Beaver St,13634,6417,$32.00 - 34.00,Loft/Creative Space,New York,Financial District,Downtown,New York,NY,10004-2314,Manhattan,Y,,,52.93,1920,,2270,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,6,40.704813,-74.012519
77 Bowery,40722,3909,$43.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10002,Manhattan,Y,12/21/2012,"20,000,000",80.80,1990,,3875,,Multi,01/01/1900,,,,100-year and 500-year Floodplain,8,40.7166141,-73.9955362
78 Bowery,20600,15400,$51.00 - 67.00,Medical,New York,Soho,Midtown South,New York,NY,10013-4650,Manhattan,N,,,25.24,2017,,2000,,Multi,09/05/2007,3604970203F,360497,0203F,100-year and 500-year Floodplain,8,40.7169293,-73.9959988
30 Broad St,476000,126083,$54.00 - 144.00,Office Building,New York,Financial District,Downtown,New York,NY,10004-2304,Manhattan,N,4/1/2016,"130,000,000",78.81,1932,1985,7346,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,46,40.7062785,-74.0116573
11 Broadway,490709,206032,$30.00 - 100.00,,New York,World Trade Center,Downtown,New York,NY,10004,Manhattan,N,,,60.15,1898,,22500,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,22,40.7054005,-74.0142405
150 Broadway,246000,73730,$42.00 - 51.00,Office Live/Work Unit,New York,Insurance District,Downtown,New York,NY,10038-4381,Manhattan,N,,,73.14,1924,1986,8696,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,23,40.7092276,-74.0101641
160 Broadway,113600,20335,$38.00 - 45.00,,New York,Insurance District,Downtown,New York,NY,10038,Manhattan,N,,,82.10,1908,,4850,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,16,40.7094504,-74.0100204
381-383 Broadway,17000,4500,$150.00,Office Building,New York,City Hall,Downtown,New York,NY,10013,Manhattan,N,4/13/2023,"16,750,000",73.53,1915,,4600,0.00,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,5,40.718202,-74.0031366
424-426 Broadway,35000,6000,$45.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013-5806,Manhattan,Y,,,82.86,1915,,5000,0.00,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.719571,-74.001367
447 Broadway,35429,16571,$55.00 - 65.53,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013,Manhattan,N,,,63.31,1880,1999,5905,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.720556,-74.0014145
599 Broadway,138600,28158,$39.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10012-3235,Manhattan,Y,,,71.75,1917,2011,10890,,Multi,01/01/1900,,,,100-year and 500-year Floodplain,12,40.725388,-73.997341
1430 Broadway,364000,109849,$40.00 - 105.88,Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,,,81.73,1955,,16545,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,22,40.7539472,-73.9865105
1776 Broadway,116443,42016,$55.00,,New York,Columbus Circle,Midtown,New York,NY,10019-2002,Manhattan,N,,,69.05,1929,2019,5981,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,25,40.7663159,-73.9815279
241-249 Centre St,26065,4600,$59.00 - 65.00,,New York,Soho,Midtown South,New York,NY,10013-3224,Manhattan,N,,,82.35,1910,1987,3723,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.720419,-73.9982006
55 Chrystie St,53500,47700,$45.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10002-5042,Manhattan,N,4/13/2020,"28,600,000",10.84,1900,2020,10000,0.00,Multi,09/05/2007,3604970203F,360497,0203F,100-year and 500-year Floodplain,6,40.7164989,-73.995015
645-651 Eleventh Ave,75000,75000,$69.00,,New York,Times Square,Midtown,New York,NY,10036-2004,Manhattan,N,5/27/2003,"10,000,000",0.00,1940,,12500,,Single,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.764336,-73.996174
41 Elizabeth St,56080,8535,$55.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013,Manhattan,Y,,,49.12,1920,,6529,,Multi,09/05/2007,3604970203F,360497,0203F,100-year and 500-year Floodplain,7,40.7170645,-73.9968909
349 Fifth Ave,70000,16000,$49.00,Loft/Creative Space,New York,Murray Hill,Midtown,New York,NY,10016,Manhattan,N,12/15/2009,"18,300,000",77.14,1904,,6760,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,8,40.7481255,-73.9844383
358 Fifth Ave,100330,15195,$49.00 - 51.00,,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-2209,Manhattan,N,3/27/2002,"21,550,794",84.85,1920,,6441,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,15,40.7488015,-73.9847325
179 Franklin St,26512,11700,$53.03 - 61.68,Office/Residential,New York,Tribeca,Downtown,New York,NY,10013-2857,Manhattan,N,,,55.87,1915,,4300,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.719178,-74.009561
19 Fulton St,12647,6934,$49.00 - 49.86,,New York,Insurance District,Downtown,New York,NY,10038-2100,Manhattan,N,,,45.17,1983,1997,3162,,Multi,09/05/2007,3604970184F,360497,0184F,100-year Floodplain,4,40.7070407,-74.003555
46-50 Greene St,47621,25750,$77.00 - 115.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013-2606,Manhattan,N,8/11/2015,,54.01,1900,,7300,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,5,40.7220162,-74.0016081
111 John St,347755,91256,$36.00 - 110.00,,New York,Insurance District,Downtown,New York,NY,10038,Manhattan,N,1/11/1996,"11,200,000",75.20,1929,,17000,0.52,Multi,09/05/2007,3604970184F,360497,0184F,100-year Floodplain,28,40.7078,-74.005665
250 Lafayette St,20000,4265,$62.50,Office/Residential,New York,Soho,Midtown South,New York,NY,10012-4040,Manhattan,N,,,78.68,1994,,3333,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,6,40.723139,-73.9970751
369 Lexington Ave,153412,37110,$43.00 - 144.00,,New York,Grand Central,Midtown,New York,NY,10017,Manhattan,N,3/31/2004,"45,950,000",84.63,1927,,5479,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,28,40.7504708,-73.976456
661 Lexington Ave,45095,8819,$42.00,,New York,Plaza District,Midtown,New York,NY,10022-3603,Manhattan,Y,1/10/2012,"25,000,000",1.92,1902,,5637,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,8,40.759705,-73.969898
424 Madison Ave,84000,19393,$56.00 - 58.00,,New York,Plaza District,Midtown,New York,NY,10017-1106,Manhattan,N,11/16/2006,"31,000,000",78.90,1926,,4130,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,16,40.7572057,-73.9763947
425 Madison Ave,108800,36201,$31.20 - 60.00,,New York,Plaza District,Midtown,New York,NY,10017-1110,Manhattan,N,,,79.70,1988,,4500,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,22,40.7569316,-73.9758472
768 Madison Ave,8000,1300,$109.80,,New York,Upper East Side,Uptown,New York,NY,10065-6565,Manhattan,N,,,83.75,1910,,1600,,Multi,09/05/2007,3604970089F,360497,0089F,100-year and 500-year Floodplain,5,40.7679244,-73.9685405
960 Madison Ave,8000,1275,$113.00,,New York,Upper East Side,Uptown,New York,NY,10021-2637,Manhattan,N,,,84.06,1910,2010,1675,,,09/05/2007,3604970089F,360497,0089F,100-year and 500-year Floodplain,5,40.77411,-73.9640303
16 Madison Square W,290640,113684,$45.00 - 100.00,,New York,Chelsea,Midtown South,New York,NY,10010,Manhattan,N,8/14/2023,"42,874,735",78.71,1900,1979,22000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.74294,-73.989321
125 Maiden Ln,101351,65482,$27.00 - 175.00,Medical,New York,Insurance District,Downtown,New York,NY,10038-4912,Manhattan,Y,8/20/2018,,0.00,1958,,25460,,Multi,09/05/2007,3604970184F,360497,0184F,100-year Floodplain,17,40.7066176,-74.0062609
132-138 Mulberry St,55800,11900,$42.00 - 60.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013-5551,Manhattan,N,,,78.67,1915,,4008,0.00,Multi,01/01/1900,,,,100-year and 500-year Floodplain,6,40.718549,-73.997495
419 Park Ave S,190954,91335,$60.00,,New York,Gramercy Park,Midtown South,New York,NY,10016-8410,Manhattan,N,,,65.18,1927,,9543,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,20,40.7437117,-73.9833927
40 Rector St,575187,65108,$39.00 - 45.00,Office Building,New York,World Trade Center,Downtown,New York,NY,10006,Manhattan,Y,1/18/2001,"78,000,000",80.43,1922,1971,22768,,Multi,01/01/1900,,,,100-year Floodplain,19,40.708591,-74.014923
67-73 Spring St,75000,31000,$69.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10012-4004,Manhattan,N,3/16/2004,"15,300,000",58.67,1912,,12500,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,6,40.7226357,-73.9973646
113 University Pl,66000,26000,$48.00,Loft/Creative Space,New York,Gramercy Park,Midtown South,New York,NY,10003-4527,Manhattan,N,,,60.61,1940,,6500,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7343225,-73.9921075
138 Wooster St,17400,13500,$60.00,Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10012-3180,Manhattan,N,,,56.90,1920,2014,3480,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.725664,-73.99956
1550-1556 3rd Ave,67500,12414,$28.96 - 35.39 (Est.),Office/Residential,New York,Upper East Side,Uptown,New York,NY,10128-3105,Manhattan,N,7/11/2005,"45,000,000",81.61,1915,1989,11250,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.7797793,-73.9536537
18 E 17th St,30000,8200,$49.46 - 60.45 (Est.),Loft/Creative Space,New York,Gramercy Park,Midtown South,New York,NY,10003-1952,Manhattan,N,,,72.67,1897,2014,3000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,8,40.7373,-73.9912943
115 W 18th St,280000,57700,$49.58 - 60.59 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10011-4113,Manhattan,N,,,79.39,1917,,35000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,8,40.7403438,-73.995646
1-5 W 19th St,91000,14400,$44.24 - 54.07 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10011-4332,Manhattan,Y,,,68.35,1896,,8880,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,10,40.7394475,-73.9918303
5 W 20th St,14500,2576,$45.29 - 55.35 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10011-3711,Manhattan,N,,,82.23,1910,,2400,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.740143,-73.99158
515 W 20th St,83240,17811,$38.76 - 47.37 (Est.),,New York,Chelsea,Midtown South,New York,NY,10011-2831,Manhattan,N,,,78.60,1934,,11891,,Multi,09/05/2007,3604970182F,360497,0182F,100-year Floodplain,7,40.746365,-74.0062825
3-7 W 22nd St,97893,17996,$44.18 - 53.99 (Est.),,New York,Chelsea,Midtown South,New York,NY,10010-5101,Manhattan,N,,,81.62,1901,1988,7088,,Multi,01/01/1900,,,,100-year and 500-year Floodplain,10,40.7413092,-73.9906676
220 E 23rd St,141355,73753,$37.71 - 46.09 (Est.),Office Building,New York,Gramercy Park,Midtown South,New York,NY,10010,Manhattan,N,,,61.69,1931,,11604,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,13,40.738156,-73.982339
50 W 23rd St,340634,77081,$51.59 - 63.06 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10010-5205,Manhattan,N,11/12/2010,"129,500,000",80.01,1906,2011,24331,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,14,40.7421234,-73.9917939
137-139 W 25th St,91308,7690,$39.56 - 48.35 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-7200,Manhattan,Y,9/11/1998,"5,585,000",83.16,1910,1989,7609,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7450732,-73.993414
49-55 W 27th St,87200,42350,$39.80 - 48.64 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10001-6936,Manhattan,N,1/1/1999,"4,533,250",51.43,1907,,7920,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7453459,-73.9902393
158 W 27th St,105836,48887,$39.11 - 47.80 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-6216,Manhattan,N,10/25/2019,"98,500,000",78.08,1913,2012,8820,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.746198,-73.99333
229 W 28th St,153432,89502,$36.03 - 44.04 (Est.),,New York,Chelsea,Midtown South,New York,NY,10001-5915,Manhattan,N,1/18/2024,"35,150,000",50.00,1917,,12786,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7479712,-73.9947339
115-125 W 30th St,166000,29074,$38.43 - 46.97 (Est.),,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-4010,Manhattan,N,,,82.49,1912,,11000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.747864,-73.990536
